index	sheet	BMS	UNOCF	TC	status
73	To psi(I)	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)(2,0)(3,1)(4,0)	ew^ew = psi(W*w+ew^2)	C(C(C(C(C(0,Ω_1),0),C(C(0,Ω_1),0)),C(C(0,Ω_1),0)),C(C(0,Ω_1),0))	verified
74	To psi(I)	(0,0)(1,1)(2,0)(1,1)	e(w+1) = psi(W*w+W)	C(Ω_1,C(C(0,Ω_1),0))	verified
75	To psi(I)	(0,0)(1,1)(2,0)(1,1)(1,1)	e(w+2) = psi(W*w+W2)	C(Ω_1,C(Ω_1,C(C(0,Ω_1),0)))	verified
76	To psi(I)	(0,0)(1,1)(2,0)(1,1)(2,0)	e(w2) = psi(W*w2)	C(C(0,Ω_1),C(C(0,Ω_1),0))	verified
77	To psi(I)	(0,0)(1,1)(2,0)(2,0)	e(w^2) = psi(W*w^2) = psi(psi_1(2))	C(C(0,C(0,Ω_1)),0)	verified
78	To psi(I)	(0,0)(1,1)(2,0)(3,0)	e(w^w) = psi(W*w^w) = psi(psi_1(w))	C(C(C(0,0),Ω_1),0)	verified
79	To psi(I)	(0,0)(1,1)(2,0)(3,1)	ee0 = psi(W*e0) = psi(psi_1(e0))	C(C(C(Ω_1,0),Ω_1),0)	verified
80	To psi(I)	(0,0)(1,1)(2,0)(3,1)(1,1)	e(e0+1) = psi(W*e0+W)	C(Ω_1,C(C(C(Ω_1,0),Ω_1),0))	verified
81	To psi(I)	(0,0)(1,1)(2,0)(3,1)(1,1)(2,0)(3,1)	e(e0*2) = psi(W*e0*2)	C(C(C(Ω_1,0),Ω_1),C(C(C(Ω_1,0),Ω_1),0))	verified
82	To psi(I)	(0,0)(1,1)(2,0)(3,1)(2,0)	e(e0*w) = psi(W*e0*w)	C(C(0,C(C(Ω_1,0),Ω_1)),0)	verified
83	To psi(I)	(0,0)(1,1)(2,0)(3,1)(2,0)(3,1)	e(e0^2) = psi(W*e0^2)	C(C(C(Ω_1,0),C(C(Ω_1,0),Ω_1)),0)	verified
84	To psi(I)	(0,0)(1,1)(2,0)(3,1)(3,0)	e(e0^w) = psi(W*e0^w)	C(C(C(0,C(Ω_1,0)),Ω_1),0)	verified
85	To psi(I)	(0,0)(1,1)(2,0)(3,1)(3,0)(4,1)	e(e0^e0) = psi(W*e0^e0)	C(C(C(C(Ω_1,0),C(Ω_1,0)),Ω_1),0)	verified
86	To psi(I)	(0,0)(1,1)(2,0)(3,1)(3,1)	ee1 = psi(W*e1)	C(C(C(Ω_1,C(Ω_1,0)),Ω_1),0)	verified
87	To psi(I)	(0,0)(1,1)(2,0)(3,1)(4,0)	eew = psi(W*ew)	C(C(C(C(0,Ω_1),0),Ω_1),0)	verified
88	To psi(I)	(0,0)(1,1)(2,0)(3,1)(4,0)(5,1)	eee0 = psi(W*ee0)	C(C(C(C(C(Ω_1,0),Ω_1),0),Ω_1),0)	verified
89	To psi(I)	(0,0)(1,1)(2,1)	z0 = psi(W^2) = psi(psi_1(W))	C(C(Ω_1,Ω_1),0)	verified
90	To psi(I)	(0,0)(1,1)(2,1)(0,0)	z0+1	C(0,C(C(Ω_1,Ω_1),0))	verified
91	To psi(I)	(0,0)(1,1)(2,1)(0,0)(1,1)(2,1)	z0*2	C(C(C(Ω_1,Ω_1),0),C(C(Ω_1,Ω_1),0))	verified
92	To psi(I)	(0,0)(1,1)(2,1)(1,0)	z0*w = psi(W^2+1)	C(C(0,C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0))	verified
93	To psi(I)	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)	z0^2 = psi(W^2+z0)	C(C(C(C(Ω_1,Ω_1),0),C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0))	verified
94	To psi(I)	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)(2,0)	z0^w = psi(W^2+z0*w)	C(C(C(0,C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0))	verified
95	To psi(I)	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)(2,0)(3,1)(4,1)	z0^z0 = psi(W^2+z0^2)	C(C(C(C(C(Ω_1,Ω_1),0),C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0)),C(C(Ω_1,Ω_1),0))	verified
96	To psi(I)	(0,0)(1,1)(2,1)(1,1)	e(z0+1) = psi(W^2+W)	C(Ω_1,C(C(Ω_1,Ω_1),0))	verified
97	To psi(I)	(0,0)(1,1)(2,1)(1,1)(1,1)	e(z0+2) = psi(W^2+W2)	C(Ω_1,C(Ω_1,C(C(Ω_1,Ω_1),0)))	verified
98	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)	e(z0+w) = psi(W^2+W*w)	C(C(0,Ω_1),C(C(Ω_1,Ω_1),0))	verified
99	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)	e(z0+e0) = psi(W^2+W*e0)	C(C(C(Ω_1,0),Ω_1),C(C(Ω_1,Ω_1),0))	verified
100	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)	e(z0*2) = psi(W^2+W*z0)	C(C(C(C(Ω_1,Ω_1),0),Ω_1),C(C(Ω_1,Ω_1),0))	verified
101	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(2,0)	e(z0*w) = psi(W^2+W*z0*w)	C(C(0,C(C(C(Ω_1,Ω_1),0),Ω_1)),C(C(Ω_1,Ω_1),0))	verified
102	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(2,0)(3,1)(4,1)	e(z0^2) = psi(W^2+W*z0^2)	C(C(C(C(Ω_1,Ω_1),0),C(C(C(Ω_1,Ω_1),0),Ω_1)),C(C(Ω_1,Ω_1),0))	verified
103	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,0)	e(z0^w) = psi(W^2+W*z0^w)	C(C(C(0,C(C(Ω_1,Ω_1),0)),Ω_1),C(C(Ω_1,Ω_1),0))	verified
104	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,0)(4,1)(5,1)	e(z0^z0) = psi(W^2+W*z0^z0)	C(C(C(C(C(Ω_1,Ω_1),0),C(C(Ω_1,Ω_1),0)),Ω_1),C(C(Ω_1,Ω_1),0))	verified
105	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,1)	ee(z0+1) = psi(W^2+W*e(z0+1))	C(C(C(Ω_1,C(C(Ω_1,Ω_1),0)),Ω_1),C(C(Ω_1,Ω_1),0))	verified
106	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,1)	z1 = psi(W^2*2)	C(C(Ω_1,Ω_1),C(C(Ω_1,Ω_1),0))	verified
107	To psi(I)	(0,0)(1,1)(2,1)(1,1)(2,1)(1,1)(2,1)	z2 = psi(W^2*3)	C(C(Ω_1,Ω_1),C(C(Ω_1,Ω_1),C(C(Ω_1,Ω_1),0)))	verified
108	To psi(I)	(0,0)(1,1)(2,1)(2,0)	zw = psi(W^2*w) = psi(psi_1(W+1))	C(C(0,C(Ω_1,Ω_1)),0)	verified
109	To psi(I)	(0,0)(1,1)(2,1)(2,0)(2,0)	z(w^2) = psi(W^2*w^2) = psi(psi_1(W+2))	C(C(0,C(0,C(Ω_1,Ω_1))),0)	verified
110	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,0)	z(w^w) = psi(W^2*w^w) = psi(psi_1(W+w))	C(C(C(0,0),C(Ω_1,Ω_1)),0)	verified
111	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)	ze0 = psi(W^2*e0) = psi(psi_1(W+e0))	C(C(C(Ω_1,0),C(Ω_1,Ω_1)),0)	verified
112	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(3,1)	ze1 = psi(W^2*e1)	C(C(C(Ω_1,C(Ω_1,0)),C(Ω_1,Ω_1)),0)	verified
113	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,0)	zew = psi(W^2*ew)	C(C(C(C(0,Ω_1),0),C(Ω_1,Ω_1)),0)	verified
114	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,0)(5,1)	zee0 = psi(W^2*ee0)	C(C(C(C(C(Ω_1,0),Ω_1),0),C(Ω_1,Ω_1)),0)	verified
115	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)	zz0 = psi(W^2*z0) = psi(psi_1(W+z0))	C(C(C(C(Ω_1,Ω_1),0),C(Ω_1,Ω_1)),0)	verified
116	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(3,1)(4,1)	zz1 = psi(W^2*z1)	C(C(C(C(Ω_1,Ω_1),C(C(Ω_1,Ω_1),0)),C(Ω_1,Ω_1)),0)	verified
117	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)	zzw = psi(W^2*zw)	C(C(C(C(0,C(Ω_1,Ω_1)),0),C(Ω_1,Ω_1)),0)	verified
118	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)(5,1)	zze0 = psi(W^2*ze0)	C(C(C(C(C(Ω_1,0),C(Ω_1,Ω_1)),0),C(Ω_1,Ω_1)),0)	verified
119	To psi(I)	(0,0)(1,1)(2,1)(2,0)(3,1)(4,1)(4,0)(5,1)(6,1)	zzz0 = psi(W^2*zz0)	C(C(C(C(C(C(Ω_1,Ω_1),0),C(Ω_1,Ω_1)),0),C(Ω_1,Ω_1)),0)	verified
120	To psi(I)	(0,0)(1,1)(2,1)(2,1)	phi(3,0) = psi(W^3) = psi(psi_1(W2))	C(C(Ω_1,C(Ω_1,Ω_1)),0)	verified
121	To psi(I)	(0,0)(1,1)(2,1)(2,1)(1,1)	e(phi(3,0)+1) = psi(W^3+W)	C(Ω_1,C(C(Ω_1,C(Ω_1,Ω_1)),0))	verified
122	To psi(I)	(0,0)(1,1)(2,1)(2,1)(1,1)(2,1)	z(phi(3,0)+1) = psi(W^3+W^2)	C(C(Ω_1,Ω_1),C(C(Ω_1,C(Ω_1,Ω_1)),0))	verified
